
name,slug,categories,price_range
Grass Dance PR Lot SCC14481,grass-dance-pr-lot-scc14481,Sativa,"$102.36-$291.00"
Super Lemon Haze,love-haze,Sativa,"$111.96-$15.00"  
Flawless Victory (Flawless Vic),flawless-vic,Indica,"$111.96"
Sweet Gas,sweet-gas,Hybrid,"$12.24-$33.79"
Pine Star,pine-star,Hybrid,"$12.50"
Slaty Pink,slaty-pink,Hybrid,"$13.16-$37.93"
Everyday Indica,everyday-indica,Indica,"$100.44"
Jelly Bean,jelly-bean,Hybrid,"$12.59-$35.97"
Sour Mango,sour-mango,Hybrid,"$111.95"
Mandarin Sunset,mandarin-sunset,Sativa,"$13.22-$38.78"
Hippie Vibes,hippie-vibes,Sativa,"$13.57-$38.79"
Dream Catcher,dream-catcher,Sativa,"$13.34-$37.98"
OG Kush x Sour Diesel,og-kush-x-sour-diesel-3,Hybrid,"(variable)"
Midnight Blueberry,midnight-blueberry,Indica,"(draft)"
TOM FORD,tom-ford,Indica,"(draft)"
Everyday CBD,everyday-cbd,CBD,"(private)"
Everyday Sativa,everyday-sativa,Sativa,"(private)"
Edibles,edibles,Medical Patents,"$20.99"
Dried Cannabis,dried-cannabis,Medical Patents,"$18.89"
Topicals,topicals,Medical Patents,"$28.89"
Capsules,capsules,Medical Patents,"$15.00"
Tinctures,tinctures,Medical Patents,"$12.00"
